,,,,,,,
,,,,,,,
,,,,,,,
,The VectorWheel (Custom Onewheel),,,,,,
,Difficulty:   Insane,,,,,,
,,,Incomplete,,"*Some of the parts say ""Kit"" which means those parts are bought as a kit for $385 (~$450 plus shipping & taxes)",,
,Parts List:,,,,"*Some of the parts say ""UNIV"" which means my university may already have those parts when I move in, so I do not need funding for those",,
,Item,,Purpose,Quantity,Price,Total(Taxes + Shipping),Link
,144 LED/m Neopixel Strips,,Lighting for nighttime riding,1,Already Have,,https://www.amazon.com/dp/B0BDRCQWWQ?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_6&th=1
,"4000W 10"" Hub Motor ",,Main drive for the board,1,KIT,KIT,https://spintend.com/collections/diy-onewheel-parts-group/products/diy-strong-power-onewheel-pack5
,Ubox Alum 85V 150A Controller (Kit),,Speed controller for the motor,1,KIT,KIT,https://spintend.com/collections/diy-onewheel-parts-group/products/diy-strong-power-onewheel-pack5
,120A Fuse (Kit),,Safety precaution,1,KIT,KIT,https://spintend.com/collections/diy-onewheel-parts-group/products/diy-strong-power-onewheel-pack5
,21700 Battery Cells,,Power source,32,$4.00,$137,https://liionwholesale.com/products/eve-inr21700-40pl-70a-4000mah-flat-top-21700-battery-wholesale-discount?variant=42098183569477
,Kapton Tape Roll,,Extra electric and heat resistant taping,1,UNIV,,
,"1.5"" x 2"" Aluminum Box Tubes  (36 in)",,For the main structural frame,2,$31.26,$46.25,https://www.grainger.com/product/Aluminum-Rectangular-Tube-6ALV1?opr=ILOF
,DC Barrel Jack Connector,,Charging port,1,Already Have,,
,10A 22mm Latching Button,,On/Off switch,1,Already Have,,
,Black PETG Filament Roll,,For some parts of the frame,1,UNIV,,
,Nickel Strip Roll for Batteries,,Connections in battery pack,1,$15.69,$15.69,https://www.amazon.com/0-15x27mm-Spacing-Soldering-Battery-Welding/dp/B0CRQF6B4X/ref=sr_1_3_sspa?crid=Y4ETV7WS10MM&dib=eyJ2IjoiMSJ9.J6Bbjg4xX2iFJ4oOYyEMOfv4Gc8veGw79mBy2TF9M_np9ZtqzdUTsB6hynWI3uUAVacEeNKsTE4wT6Xf3_J9nOD7mqLickEQ14vOJLam8mUUo7Kcitpctq1SK-u2uWLvDwKMjmyiiWajeI_tKM2mD-uBNksLO3ONI0SN5-GkWTK2CgdfBQJVh0MWP95l8BUSnbUqCJnUqHltXABFy_VyTMqfiBRpR80lrx7ounznJrwg-o-iEQ3icm5TIbTOs5xjDbdnvl-m2S_1dFV3tiNpznIUlb_RKxWWn78va-guHcU.r_xfH8_y59URuxsqhPCe3Z2-RNiEh6vAxEgK9B_Y-NM&dib_tag=se&keywords=nickel%2Bstrip%2Bfor%2Bbattery%2Bspot%2Bwelding%2Bwith%2Bspacing&nsdOptOutParam=true&qid=1784480792&sprefix=nickel%2Bstrip%2Bfor%2Bbattery%2Bspot%2Bwelding%2Bwith%2Bspacin%2Caps%2C166&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
,Heat Shrink for Battery Packs,,Safety proofing for battery pack,1,$11.19,$11.19,https://www.amazon.com/200mm-Shrink-Lithium-Battery-Length/dp/B09SVFL33L/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.77nYUYKXEO2OGUMll_WlNKFy09OBDPeAe3Wrxw9urdjF6qQovSmNI-AbKRkt2KMsB011zJkPifPTHIC6K59XyQZEs2Z1Lm9lr36E8Rj6I-9spAAgou_eF8Z3s6IX-IO_7o22YfsSMRE9wYbEhlUEt7H1IRK_KnXEYThhOXo0zRwqOdKvn4PeFH6udL6Wi1oNljV5DBiUH9PpIhzxvfxcPNXT8oTL7a4egSj2bdtX1tI.rc1Tv58FB7xKxxm13rBvmVKGzOJjYaqm4K56PQD9fsU&dib_tag=se&keywords=battery+heat+shrink&qid=1784480837&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,Footpad Sensors (Kit),,Detecting when someone is riding,2,KIT,KIT,https://spintend.com/collections/diy-onewheel-parts-group/products/diy-strong-power-onewheel-pack5
